pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
,,,,,,,,,,,,77 stone,py~er //,FALSE,,,,,,,,,,
,,,,,,,,,,,,78 sand,sabl //,FALSE,,,,,,,,,,
,,,,,,,,,,,,79 earth,ter //,FALSE,,,,,,,,,,
,,,,,,,,,,,,80 cloud,nuaj //,FALSE,,,,,,,,,,
,,,,,,,,,,,,81 smoke,fEme //,FALSE,,,,,,,,,,
,,,,,,,,,,,,82 fire,fe //,FALSE,,,,,,,,,,
,,,,,,,,,,,,83 ash,sa*dr //,FALSE,,,,,,,,,,
,,,,,,,,,,,,84 burn,brule //,FALSE,,,,,,,,,,
,,,,,,,,,,,,85 path,rut //,FALSE,,,,,,,,,,
,,,,,,,,,,,,86 mountain,mo*taj //,FALSE,,,,,,,,,,
,,,,,,,,,,,,87 red,ruj //,FALSE,,,,,,,,,,
,,,,,,,,,,,,88 green,ver //,FALSE,,,,,,,,,,
,,,,,,,,,,,,89 yellow,jon //,FALSE,,,,,,,,,,
,,,,,,,,,,,,90 white,bla* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,91 black,nw~ar //,FALSE,,,,,,,,,,
,,,,,,,,,,,,92 night,nui //,FALSE,,,,,,,,,,
,,,,,,,,,,,,93 hot,So //,FALSE,,,,,,,,,,
,,,,,,,,,,,,94 cold,fr~wa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,95 full,pl3* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,96 new,nuvo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,97 good,bo* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,98 round,ro* //,FALSE,,,,,,,,,,
,,,,,,,,,,,,99 dry,s3k //,FALSE,,,,,,,,,,
,,,,,,,,,,,,100 name,no* //,FALSE,,,,,,,,,,
