pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
,,,,,,,,,,,,80 cloud,klaud //,FALSE,,,,,,,,,,
,,,,,,,,,,,,81 smoke,smok //,FALSE,,,,,,,,,,
,,,,,,,,,,,,82 fire,fEir //,FALSE,,,,,,,,,,
,,,,,,,,,,,,83 ash,ES //,FALSE,,,,,,,,,,
,,,,,,,,,,,,84 burn,b3rn //,FALSE,,,,,,,,,,
,,,,,,,,,,,,85 path,pE8 //,FALSE,,,,,,,,,,
,,,,,,,,,,,,86 mountain,%maunt3n //,TRUE,,,,,,,,,,
,,,,,,,,,,,,87 red,rEd //,FALSE,,,,,,,,,,
,,,,,,,,,,,,88 green,grin //,FALSE,,,,,,,,,,
,,,,,,,,,,,,89 yellow,yElo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,90 white,wh~Eit //,FALSE,,,,,,,,,,
,,,,,,,,,,,,91 black,blEk //,FALSE,,,,,,,,,,
,,,,,,,,,,,,92 night,nEit //,FALSE,,,,,,,,,,
,,,,,,,,,,,,93 hot,hat //,FALSE,,,,,,,,,,
,,,,,,,,,,,,94 cold,kold //,FALSE,,,,,,,,,,
,,,,,,,,,,,,95 full,ful //,FALSE,,,,,,,,,,
,,,,,,,,,,,,96 new,nu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,97 good,gud //,FALSE,,,,,,,,,,
,,,,,,,,,,,,98 round,%rawnd //,TRUE,,,,,,,,,,
,,,,,,,,,,,,99 dry,drEi //,FALSE,,,,,,,,,,
,,,,,,,,,,,,100 name,nem //,FALSE,,,,,,,,,,
