pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
,,,,,,,,,,,,79 earth,dih Cy~ou //,FALSE,,,,,,,,,,
,,,,,,,,,,,,80 cloud,yun cae //,FALSE,,,,,,,,,,
,,,,,,,,,,,,81 smoke,ian //,FALSE,,,,,,,,,,
,,,,,,,,,,,,82 fire,huo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,83 ash,huai Su //,FALSE,,,,,,,,,,
,,,,,,,,,,,,84 burn,Sau //,FALSE,,,,,,,,,,
,,,,,,,,,,,,85 path,hsiao lu //,FALSE,,,,,,,,,,
,,,,,,,,,,,,86 mountain,San //,FALSE,,,,,,,,,,
,,,,,,,,,,,,87 red,horN //,FALSE,,,,,,,,,,
,,,,,,,,,,,,88 green,liuh Se //,FALSE,,,,,,,,,,
,,,,,,,,,,,,89 yellow,hw~aN //,FALSE,,,,,,,,,,
,,,,,,,,,,,,90 white,bair //,FALSE,,,,,,,,,,
,,,,,,,,,,,,91 black,hei //,FALSE,,,,,,,,,,
,,,,,,,,,,,,92 night,woanSanq //,FALSE,,,,,,,,,,
,,,,,,,,,,,,93 hot,reh //,FALSE,,,,,,,,,,
,,,,,,,,,,,,94 cold,harn leN //,FALSE,,,,,,,,,,
,,,,,,,,,,,,95 full,CoN man //,FALSE,,,,,,,,,,
,,,,,,,,,,,,96 new,Sin //,FALSE,,,,,,,,,,
,,,,,,,,,,,,97 good,hao //,FALSE,,,,,,,,,,
,,,,,,,,,,,,98 round,yuan //,FALSE,,,,,,,,,,
,,,,,,,,,,,,99 dry,gan caw //,FALSE,,,,,,,,,,
,,,,,,,,,,,,100 name,miNc //,FALSE,,,,,,,,,,
