pk,wordlist_pk,code_wals,code_iso,code_glottolog,classification_wals,classification_ethnologue,classification_glottolog,number_of_speakers,recently_extinct,long_extinct,year_of_extinction,id,word,loan,wals_genus,wals_family,ethnologue_family,glottolog_family,id,name,description,markup_description,latitude,longitude
,,,,,,,,,,,,77 stone,piedra //,FALSE,,,,,,,,,,
,,,,,,,,,,,,78 sand,arena //,FALSE,,,,,,,,,,
,,,,,,,,,,,,79 earth,tiera //,FALSE,,,,,,,,,,
,,,,,,,,,,,,80 cloud,nube //,FALSE,,,,,,,,,,
,,,,,,,,,,,,81 smoke,umo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,82 fire,fuego //,FALSE,,,,,,,,,,
,,,,,,,,,,,,83 ash,senisa //,FALSE,,,,,,,,,,
,,,,,,,,,,,,84 burn,"kema, arde //",FALSE,,,,,,,,,,
,,,,,,,,,,,,85 path,senda //,FALSE,,,,,,,,,,
,,,,,,,,,,,,86 mountain,"sero, monta5a //",FALSE,,,,,,,,,,
,,,,,,,,,,,,87 red,"roho, kolorado //",FALSE,,,,,,,,,,
,,,,,,,,,,,,88 green,verde //,FALSE,,,,,,,,,,
,,,,,,,,,,,,89 yellow,amariyo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,90 white,blanko //,FALSE,,,,,,,,,,
,,,,,,,,,,,,91 black,negro //,FALSE,,,,,,,,,,
,,,,,,,,,,,,92 night,noCe //,FALSE,,,,,,,,,,
,,,,,,,,,,,,93 hot,kaliente //,FALSE,,,,,,,,,,
,,,,,,,,,,,,94 cold,frio //,FALSE,,,,,,,,,,
,,,,,,,,,,,,95 full,yeno //,FALSE,,,,,,,,,,
,,,,,,,,,,,,96 new,nuevo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,97 good,bw~eno //,FALSE,,,,,,,,,,
,,,,,,,,,,,,98 round,redondo //,FALSE,,,,,,,,,,
,,,,,,,,,,,,99 dry,seko //,FALSE,,,,,,,,,,
,,,,,,,,,,,,100 name,nombre //,FALSE,,,,,,,,,,
